,GO_ID,Count_Dataset,Count_SwissProt,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater,P_Value_Less
111,GO:0046470,1,164,1.75,0.028640335,61.26,0.016291896193944982,0.016291896193944982,0.9998696793289037
116,GO:0051592,1,217,1.75,0.037896053,46.29,0.021469502761240013,0.021469502761240013,0.9997729456569735
120,GO:0009725,1,232,1.75,0.0405155959,43.3,0.02292999576937576,0.02292999576937576,0.99974079641533
92,GO:0043495,1,243,1.75,0.042436594,41.34,0.023999662663387933,0.023999662663387936,0.9997158891632436
127,GO:0005902,1,269,1.75,0.0469771349,37.35,0.02652339488207976,0.026523394882079762,0.999652555066329
130,GO:0019432,1,280,1.75,0.048898133,35.88,0.027589196684791532,0.027589196684791532,0.999623877799339
107,GO:0001889,1,365,1.75,0.063742209,27.52,0.035786372724284324,0.035786372724284324,0.9993648445546037
124,GO:0014070,1,391,1.75,0.06828275,25.69,0.038280157819542915,0.038280157819542915,0.9992724753128188
97,GO:0016746,1,404,1.75,0.0705530204,24.87,0.03952467304155871,0.03952467304155872,0.9992240017110444
123,GO:0031667,1,413,1.75,0.0721247461,24.32,0.040385333499504864,0.040385333499504864,0.9991895519429439
103,GO:0007623,1,620,1.75,0.1082744373,16.2,0.0599727189356877,0.0599727189356877,0.9981989661013332
126,GO:0005770,1,693,1.75,0.1210228791,14.5,0.06678622517031049,0.06678622517031049,0.9977607101076531
91,GO:0005788,1,844,1.75,0.1473929437,11.9,0.08072630058305152,0.08072630058305152,0.9967111839749464
121,GO:0001666,1,946,1.75,0.1652058349,10.62,0.09002679267896001,0.09002679267896001,0.9958954806496502
100,GO:0008289,1,2181,1.75,0.3808815286,4.61,0.19555755594786708,0.19555755594786706,0.979837008472524
86,GO:0008270,1,24666,1.75,4.3075762418,0.41,0.5201436839626827,0.9187109813938785,0.28987242749861375
99,GO:0042802,1,8356,1.75,1.4592599966,1.2,0.5674100777954474,0.5674100777954474,0.7977809357541134
